Url;Status code;Status name;Fetch Time;Modified Time;Retries since fetch;Retry interval seconds;Retry interval days;Score;Signature;Metadata
"https://www.aoncadis.org/contact/Matthew%20Charette/project.html";2;"db_fetched";Wed Dec 03 09:34:02 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"0a681ad6f2adc583ab2fae9137fac58e";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:542|||"
"https://www.aoncadis.org/contact/Mead%20Allison/project.html";2;"db_fetched";Wed Dec 03 10:44:45 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"12cad0a67768a2f03a1a496adaca6409";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:553|||"
"https://www.aoncadis.org/contact/Merav%20Ben-David/project.html";2;"db_fetched";Wed Dec 03 10:58:56 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"88fdb5a638110c781f19b4e459af0477";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:531|||"
"https://www.aoncadis.org/contact/Nick%20R.%20Bates/project.html";2;"db_fetched";Wed Dec 03 09:32:14 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"7c6330991d2437654e302d4d78552791";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:606|||"
"https://www.aoncadis.org/contact/Ralf%20Bennartz/project.html";2;"db_fetched";Wed Dec 03 11:06:44 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"dd5b4c6e7303aa702a4f50416467e3ff";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:588|||"
"https://www.aoncadis.org/contact/Raymond%20Bradley/project.html";2;"db_fetched";Wed Dec 03 09:47:23 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"5dafec8e06d629efdff199b5783806d6";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:593|||"
"https://www.aoncadis.org/contact/Richard%20A.%20Beck/project.html";2;"db_fetched";Wed Dec 03 09:33:29 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"5fcb68e2f3c8b69247f97c71bf684863";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:629|||"
"https://www.aoncadis.org/contact/Richard%20Beck/project.html";2;"db_fetched";Wed Dec 03 10:09:48 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"48c1a11a9f210d253a30a8430b3d0dd0";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:1262|||"
"https://www.aoncadis.org/contact/Richard%20L.%20Armstrong/project.html";2;"db_fetched";Wed Dec 03 10:44:02 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"590ab7f6e4b0c20e848c1f02c1584f41";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:515|||"
"https://www.aoncadis.org/contact/Robert%20Campbell/project.html";2;"db_fetched";Wed Dec 03 09:59:05 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"4f02ea5c527766d81311cf86bd372768";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:535|||"
